400 200
3 6
1 121 161 
2 122 162 
3 123 163 
4 124 164 
5 125 165 
6 126 166 
7 127 167 
8 128 168 
9 129 169 
10 130 170 
11 131 171 
12 132 172 
13 133 173 
14 134 174 
15 135 175 
16 136 176 
17 137 177 
18 138 178 
19 139 179 
20 140 180 
21 141 181 
22 142 182 
23 143 183 
24 144 184 
25 145 185 
26 146 186 
27 147 187 
28 148 188 
29 149 189 
30 150 190 
31 151 191 
32 152 192 
33 153 193 
34 154 194 
35 155 195 
36 156 196 
37 157 197 
38 158 198 
39 159 199 
40 160 200 
1 41 200 
2 42 161 
3 43 162 
4 44 163 
5 45 164 
6 46 165 
7 47 166 
8 48 167 
9 49 168 
10 50 169 
11 51 170 
12 52 171 
13 53 172 
14 54 173 
15 55 174 
16 56 175 
17 57 176 
18 58 177 
19 59 178 
20 60 179 
21 61 180 
22 62 181 
23 63 182 
24 64 183 
25 65 184 
26 66 185 
27 67 186 
28 68 187 
29 69 188 
30 70 189 
31 71 190 
32 72 191 
33 73 192 
34 74 193 
35 75 194 
36 76 195 
37 77 196 
38 78 197 
39 79 198 
40 80 199 
1 60 81 
2 61 82 
3 62 83 
4 63 84 
5 64 85 
6 65 86 
7 66 87 
8 67 88 
9 68 89 
10 69 90 
11 70 91 
12 71 92 
13 72 93 
14 73 94 
15 74 95 
16 75 96 
17 76 97 
18 77 98 
19 78 99 
20 79 100 
21 80 101 
22 41 102 
23 42 103 
24 43 104 
25 44 105 
26 45 106 
27 46 107 
28 47 108 
29 48 109 
30 49 110 
31 50 111 
32 51 112 
33 52 113 
34 53 114 
35 54 115 
36 55 116 
37 56 117 
38 57 118 
39 58 119 
40 59 120 
41 110 125 
42 111 126 
43 112 127 
44 113 128 
45 114 129 
46 115 130 
47 116 131 
48 117 132 
49 118 133 
50 119 134 
51 120 135 
52 81 136 
53 82 137 
54 83 138 
55 84 139 
56 85 140 
57 86 141 
58 87 142 
59 88 143 
60 89 144 
61 90 145 
62 91 146 
63 92 147 
64 93 148 
65 94 149 
66 95 150 
67 96 151 
68 97 152 
69 98 153 
70 99 154 
71 100 155 
72 101 156 
73 102 157 
74 103 158 
75 104 159 
76 105 160 
77 106 121 
78 107 122 
79 108 123 
80 109 124 
1 115 128 
2 116 129 
3 117 130 
4 118 131 
5 119 132 
6 120 133 
7 81 134 
8 82 135 
9 83 136 
10 84 137 
11 85 138 
12 86 139 
13 87 140 
14 88 141 
15 89 142 
16 90 143 
17 91 144 
18 92 145 
19 93 146 
20 94 147 
21 95 148 
22 96 149 
23 97 150 
24 98 151 
25 99 152 
26 100 153 
27 101 154 
28 102 155 
29 103 156 
30 104 157 
31 105 158 
32 106 159 
33 107 160 
34 108 121 
35 109 122 
36 110 123 
37 111 124 
38 112 125 
39 113 126 
40 114 127 
41 137 171 
42 138 172 
43 139 173 
44 140 174 
45 141 175 
46 142 176 
47 143 177 
48 144 178 
49 145 179 
50 146 180 
51 147 181 
52 148 182 
53 149 183 
54 150 184 
55 151 185 
56 152 186 
57 153 187 
58 154 188 
59 155 189 
60 156 190 
61 157 191 
62 158 192 
63 159 193 
64 160 194 
65 121 195 
66 122 196 
67 123 197 
68 124 198 
69 125 199 
70 126 200 
71 127 161 
72 128 162 
73 129 163 
74 130 164 
75 131 165 
76 132 166 
77 133 167 
78 134 168 
79 135 169 
80 136 170 
1 104 188 
2 105 189 
3 106 190 
4 107 191 
5 108 192 
6 109 193 
7 110 194 
8 111 195 
9 112 196 
10 113 197 
11 114 198 
12 115 199 
13 116 200 
14 117 161 
15 118 162 
16 119 163 
17 120 164 
18 81 165 
19 82 166 
20 83 167 
21 84 168 
22 85 169 
23 86 170 
24 87 171 
25 88 172 
26 89 173 
27 90 174 
28 91 175 
29 92 176 
30 93 177 
31 94 178 
32 95 179 
33 96 180 
34 97 181 
35 98 182 
36 99 183 
37 100 184 
38 101 185 
39 102 186 
40 103 187 
1 57 152 
2 58 153 
3 59 154 
4 60 155 
5 61 156 
6 62 157 
7 63 158 
8 64 159 
9 65 160 
10 66 121 
11 67 122 
12 68 123 
13 69 124 
14 70 125 
15 71 126 
16 72 127 
17 73 128 
18 74 129 
19 75 130 
20 76 131 
21 77 132 
22 78 133 
23 79 134 
24 80 135 
25 41 136 
26 42 137 
27 43 138 
28 44 139 
29 45 140 
30 46 141 
31 47 142 
32 48 143 
33 49 144 
34 50 145 
35 51 146 
36 52 147 
37 53 148 
38 54 149 
39 55 150 
40 56 151 
41 95 189 
42 96 190 
43 97 191 
44 98 192 
45 99 193 
46 100 194 
47 101 195 
48 102 196 
49 103 197 
50 104 198 
51 105 199 
52 106 200 
53 107 161 
54 108 162 
55 109 163 
56 110 164 
57 111 165 
58 112 166 
59 113 167 
60 114 168 

61 115 169 
62 116 170 
63 117 171 
64 118 172 
65 119 173 
66 120 174 
67 81 175 
68 82 176 
69 83 177 
70 84 178 
71 85 179 
72 86 180 
73 87 181 
74 88 182 
75 89 183 
76 90 184 
77 91 185 
78 92 186 
79 93 187 
80 94 188 
81 143 169 
82 144 170 
83 145 171 
84 146 172 
85 147 173 
86 148 174 
87 149 175 
88 150 176 
