96 48
3 6
1	18	46
15	17	39
10	30	41
8	25	40
12	32	38
2	21	43
3	20	45
6	24	35
16	19	48
7	31	47
4	23	36
5	22	33
9	29	37
13	28	44
11	27	42
14	26	34
12	23	48
13	27	37
1	28	42
10	31	46
2	20	38
4	22	44
3	19	33
5	21	40
7	24	34
9	26	39
8	18	45
6	30	36
11	25	41
14	17	47
15	29	35
16	32	43
9	19	44
16	24	46
11	26	35
13	29	34
5	18	47
15	28	37
2	23	45
10	20	36
6	17	42
4	32	39
8	27	33
12	22	40
7	30	38
14	31	48
3	21	41
1	25	43
5	26	38
8	28	41
1	27	36
9	21	35
3	32	47
7	20	48
13	24	42
4	29	33
10	25	45
2	30	46
12	31	37
6	18	43
16	22	39
14	23	44
11	17	34
15	19	40
5	28	48
14	21	38
9	32	45
4	18	34
6	26	40
2	19	35
16	20	47
3	25	42
13	22	36
12	17	44
7	23	46
8	30	37
11	24	33
10	29	43
1	31	39
15	27	41
4	30	42
2	27	47
14	25	36
12	19	46
6	28	45
1	23	33
7	29	40
13	31	43
3	17	48
11	22	38
8	32	35
9	18	41
15	24	44
10	21	34
16	26	37
5	20	39
