200 150
3 4
1 76 101 
2 77 102 
3 78 103 
4 79 104 
5 80 105 
6 81 106 
7 82 107 
8 83 108 
9 84 109 
10 85 110 
11 86 111 
12 87 112 
13 88 113 
14 89 114 
15 90 115 
16 91 116 
17 92 117 
18 93 118 
19 94 119 
20 95 120 
21 96 121 
22 97 122 
23 98 123 
24 99 124 
25 100 125 
1 26 126 
2 27 127 
3 28 128 
4 29 129 
5 30 130 
6 31 131 
7 32 132 
8 33 133 
9 34 134 
10 35 135 
11 36 136 
12 37 137 
13 38 138 
14 39 139 
15 40 140 
16 41 141 
17 42 142 
18 43 143 
19 44 144 
20 45 145 
21 46 146 
22 47 147 
23 48 148 
24 49 149 
25 50 150 
1 50 51 
2 26 52 
3 27 53 
4 28 54 
5 29 55 
6 30 56 
7 31 57 
8 32 58 
9 33 59 
10 34 60 
11 35 61 
12 36 62 
13 37 63 
14 38 64 
15 39 65 
16 40 66 
17 41 67 
18 42 68 
19 43 69 
20 44 70 
21 45 71 
22 46 72 
23 47 73 
24 48 74 
25 49 75 
26 62 84 
27 63 85 
28 64 86 
29 65 87 
30 66 88 
31 67 89 
32 68 90 
33 69 91 
34 70 92 
35 71 93 
36 72 94 
37 73 95 
38 74 96 
39 75 97 
40 51 98 
41 52 99 
42 53 100 
43 54 76 
44 55 77 
45 56 78 
46 57 79 
47 58 80 
48 59 81 
49 60 82 
50 61 83 
1 57 103 
2 58 104 
3 59 105 
4 60 106 
5 61 107 
6 62 108 
7 63 109 
8 64 110 
9 65 111 
10 66 112 
11 67 113 
12 68 114 
13 69 115 
14 70 116 
15 71 117 
16 72 118 
17 73 119 
18 74 120 
19 75 121 
20 51 122 
21 52 123 
22 53 124 
23 54 125 
24 55 101 
25 56 102 
76 112 147 
77 113 148 
78 114 149 
79 115 150 
80 116 126 
81 117 127 
82 118 128 
83 119 129 
84 120 130 
85 121 131 
86 122 132 
87 123 133 
88 124 134 
89 125 135 
90 101 136 
91 102 137 
92 103 138 
93 104 139 
94 105 140 
95 106 141 
96 107 142 
97 108 143 
98 109 144 
99 110 145 
100 111 146 
51 104 134 
52 105 135 
53 106 136 
54 107 137 
55 108 138 
56 109 139 
57 110 140 
58 111 141 
59 112 142 
60 113 143 
61 114 144 
62 115 145 
63 116 146 
64 117 147 
65 118 148 
66 119 149 
67 120 150 
68 121 126 
69 122 127 
70 123 128 
71 124 129 
72 125 130 
73 101 131 
74 102 132 
75 103 133 
26 88 132 
27 89 133 
28 90 134 
29 91 135 
30 92 136 
31 93 137 
32 94 138 
33 95 139 
34 96 140 
35 97 141 
36 98 142 
37 99 143 
38 100 144 
39 76 145 
40 77 146 
41 78 147 
42 79 148 
43 80 149 
44 81 150 
45 82 126 
46 83 127 
47 84 128 
48 85 129 
49 86 130 
50 87 131 
